date,valeur,surfaceterrain,nblocmai,nblocapt,nblocdep,nblocact,sbati,typebien,iris,A,B,C,D,E,F,G,Total,jardin
2019-02-27,355500.0,371,1,0,0,0,167,UNE MAISON,14118_0804,18,3,1,22,1,2,0,47,1
2019-01-31,190000.0,0,0,3,3,0,57,APPARTEMENT INDETERMINE,14118_1201,19,1,18,3,0,0,0,41,0
2019-02-01,56100.0,0,0,0,0,1,19,ACTIVITE,14118_1503,35,12,7,54,0,6,0,114,0
2019-01-14,72000.0,0,0,1,1,0,34,UN APPARTEMENT,14118_2006,23,3,3,29,1,6,2,67,0
2019-01-30,97500.0,0,0,1,0,0,43,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2019-01-30,250000.0,392,1,0,0,0,80,UNE MAISON,14118_1001,12,2,1,5,0,2,0,22,1
2019-02-28,75000.0,0,0,1,0,0,74,UN APPARTEMENT,14118_1903,25,10,1,33,0,10,0,79,0
2019-02-13,122000.0,0,0,1,0,0,72,UN APPARTEMENT,14118_1701,73,18,3,21,2,2,3,122,0
2019-02-06,99700.0,0,0,1,1,0,62,UN APPARTEMENT,14118_1501,16,3,1,10,0,3,0,33,0
2019-02-11,51400.0,0,0,1,0,0,20,UN APPARTEMENT,14118_1404,8,4,17,14,0,1,2,46,0
2019-02-13,74000.0,0,0,1,0,0,25,UN APPARTEMENT,14118_0202,122,79,4,74,3,1,7,290,0
2019-02-18,195000.0,447,1,0,0,0,79,UNE MAISON,14118_0702,32,8,4,28,1,8,0,81,1
2019-01-22,119000.0,0,0,1,0,0,44,UN APPARTEMENT,14118_0601,58,13,1,15,0,7,2,96,0
2019-02-14,125000.0,0,0,1,0,0,44,UN APPARTEMENT,14118_1502,81,11,2,34,0,0,0,128,0
2019-02-01,280000.0,542,1,0,0,0,125,UNE MAISON,14118_1001,12,2,1,5,0,2,0,22,1
2019-08-30,15500.0,0,0,0,1,0,0,UNE DEPENDANCE,14118_1601,60,54,2,35,1,7,5,164,0
2019-01-07,113000.0,0,0,1,0,0,55,UN APPARTEMENT,14118_1503,35,12,7,54,0,6,0,114,0
2019-02-08,133500.0,0,0,0,4,0,0,DES DEPENDANCES,14118_0102,159,197,2,64,0,3,13,438,0
2019-03-13,170000.0,506,0,6,4,1,308,BATI MIXTE - LOGEMENT/ACTIVITE,14118_1704,38,10,4,13,0,2,0,67,1
2019-11-27,70000.0,0,0,1,1,0,32,UN APPARTEMENT,14118_2007,16,3,3,8,0,3,0,33,0
2019-01-16,57000.0,0,0,1,1,0,20,UN APPARTEMENT,14118_2006,23,3,3,29,1,6,2,67,0
2019-01-30,80000.0,0,0,1,0,0,54,UN APPARTEMENT,14118_0803,41,14,1,31,0,1,0,88,0
2019-03-08,62000.0,0,0,0,1,0,0,UNE DEPENDANCE,14118_0102,159,197,2,64,0,3,13,438,0
2019-03-13,136000.0,0,0,1,1,0,70,UN APPARTEMENT,14118_0303,24,8,1,22,0,0,1,56,0
2019-02-01,200000.0,852,1,0,0,0,85,UNE MAISON,14118_2002,17,4,2,8,0,18,1,50,1
2019-03-07,69300.0,0,0,1,0,0,60,UN APPARTEMENT,14118_1903,25,10,1,33,0,10,0,79,0
2019-08-08,82750.0,0,0,1,0,0,33,UN APPARTEMENT,14118_0502,24,3,3,4,0,1,0,35,0
2019-01-11,108000.0,0,0,1,0,0,68,UN APPARTEMENT,14118_1301,58,13,3,27,1,2,0,104,0
2019-01-11,35000.0,0,0,1,0,0,25,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2019-01-16,38000.0,0,0,0,2,0,0,DES DEPENDANCES,14118_0202,122,79,4,74,3,1,7,290,0
2019-01-31,142310.0,0,0,1,1,0,63,UN APPARTEMENT,14118_1802,13,5,3,16,0,5,0,42,0
2019-01-24,227900.0,450,1,0,0,0,84,UNE MAISON,14118_1402,29,4,9,9,0,3,2,56,1
2019-01-23,90500.0,0,0,1,0,0,75,UN APPARTEMENT,14118_0301,78,11,1,24,0,1,4,119,0
2019-01-11,72000.0,0,0,1,1,0,23,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2019-01-05,145260.0,0,0,1,1,0,71,UN APPARTEMENT,14118_1301,58,13,3,27,1,2,0,104,0
2019-08-14,140000.0,190,1,0,0,0,60,UNE MAISON,14118_1702,35,16,1,17,0,0,2,71,1
2019-03-01,147000.0,0,0,1,0,0,47,UN APPARTEMENT,14118_0102,159,197,2,64,0,3,13,438,0
2019-08-30,90000.0,0,0,1,1,0,45,UN APPARTEMENT,14118_1702,35,16,1,17,0,0,2,71,0
